dataset,model,tfidf__max_features,mean_acc,std_acc,scores,sbert__sbert_model,mlp__hidden,mlp__epochs
arcaico_moderno,tfidf_lr,3000.0,0.8177256720998048,0.005094733702959907,0.8127;0.8253;0.8198;0.8194;0.8114,,,
arcaico_moderno,tfidf_lr,5000.0,0.8276758323122492,0.004046211663348657,0.8236;0.8335;0.8308;0.8273;0.8231,,,
arcaico_moderno,tfidf_lr,8000.0,0.8356468130852855,0.003657739170374656,0.8330;0.8425;0.8364;0.8337;0.8327,,,
arcaico_moderno,sbert_lr,,0.7177640822136694,0.006186544237056504,0.7171;0.7088;0.7184;0.7163;0.7282,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,,
arcaico_moderno,sbert_lr,,0.7579711939583574,0.006597717034453427,0.7557;0.7500;0.7637;0.7529;0.7675,sentence-transformers/distiluse-base-multilingual-cased-v2,,
arcaico_moderno,torch_mlp,,0.8209792292806656,0.003479766251165144,0.8182;0.8254;0.8250;0.8174;0.8189,,128.0,5.0
arcaico_moderno,torch_mlp,,0.8136589966998914,0.002426053554177223,0.8120;0.8177;0.8152;0.8113;0.8121,,128.0,10.0
arcaico_moderno,torch_mlp,,0.8187830933454716,0.003850748558587296,0.8154;0.8249;0.8212;0.8181;0.8144,,256.0,5.0
arcaico_moderno,torch_mlp,,0.8117611842165233,0.003418878910296792,0.8113;0.8148;0.8155;0.8059;0.8113,,256.0,10.0
complexo_simples,tfidf_lr,3000.0,0.8078157195181831,0.004726622258521455,0.7987;0.8100;0.8115;0.8109;0.8080,,,
complexo_simples,tfidf_lr,5000.0,0.8194250640182943,0.002814440484569521,0.8144;0.8193;0.8217;0.8224;0.8194,,,
complexo_simples,tfidf_lr,8000.0,0.8251400793240492,0.003932684772100205,0.8185;0.8260;0.8265;0.8306;0.8241,,,
complexo_simples,sbert_lr,,0.6843303715500506,0.0037462365439244793,0.6790;0.6875;0.6863;0.6882;0.6807,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,,
complexo_simples,sbert_lr,,0.6923791216882478,0.005672539412948209,0.6898;0.6961;0.6854;0.7014;0.6893,sentence-transformers/distiluse-base-multilingual-cased-v2,,
complexo_simples,torch_mlp,,0.811256454982192,0.0019020233960964365,0.8093;0.8145;0.8113;0.8118;0.8094,,128.0,5.0
complexo_simples,torch_mlp,,0.8045240489909482,0.0033732052987125254,0.8063;0.8043;0.8001;0.8098;0.8021,,128.0,10.0
complexo_simples,torch_mlp,,0.8087430347513817,0.002143871227434611,0.8078;0.8094;0.8051;0.8106;0.8109,,256.0,5.0
complexo_simples,torch_mlp,,0.8017713943746259,0.003626166005129495,0.8000;0.8007;0.7991;0.8089;0.8001,,256.0,10.0
literal_dinamico,tfidf_lr,3000.0,0.8177145420407628,0.0034359381825127297,0.8110;0.8192;0.8198;0.8205;0.8180,,,
literal_dinamico,tfidf_lr,5000.0,0.8290500059141003,0.003676518241576158,0.8223;0.8298;0.8301;0.8296;0.8335,,,
literal_dinamico,tfidf_lr,8000.0,0.8350827981365313,0.0019465114200468369,0.8313;0.8369;0.8354;0.8362;0.8356,,,
literal_dinamico,sbert_lr,,0.708121505337622,0.00274190940178257,0.7112;0.7074;0.7055;0.7050;0.7114,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,,
literal_dinamico,sbert_lr,,0.7544369073822612,0.005628777442155687,0.7571;0.7457;0.7500;0.7591;0.7603,sentence-transformers/distiluse-base-multilingual-cased-v2,,
literal_dinamico,torch_mlp,,0.8184991045407994,0.0021526557596762996,0.8177;0.8206;0.8201;0.8147;0.8194,,128.0,5.0
literal_dinamico,torch_mlp,,0.8099232052608558,0.0016926581345615768,0.8125;0.8090;0.8081;0.8087;0.8113,,128.0,10.0
literal_dinamico,torch_mlp,,0.8164430836646108,0.0025949518188694105,0.8189;0.8171;0.8159;0.8117;0.8186,,256.0,5.0
literal_dinamico,torch_mlp,,0.8098690853873121,0.0013427618337503255,0.8091;0.8117;0.8100;0.8078;0.8107,,256.0,10.0
